,word,average/std,percent_std,rating,word_count,divisor,percent,type,normilization_divisor,normilized_percent,mean,median,mode,zeros,total_word_count,percent_average
385,groovy,1.0175316969192878,3.0878928315826e-05,,,,,1,0.00031420288328251486,0.0,8.269610468110114,11,9,4,47.0,3142.0288328251486
396,'s,1.2640071252431913,3.31128731993699e-05,,,,,1,0.0004185490766127786,0.0,7.633464212248606,11,5,3,47.0,4185.490766127787
407,mejor,0.8569269898451274,7.504192761520319e-05,,,,,1,0.0006430545314347201,0.0,7.130440311393995,11,3,5,47.0,6430.5453143472005
418,funbut,1.0473989209427463,4.689425053509352e-05,,,,,1,0.0004911698740887574,0.0,6.7228212654416515,11,7,3,47.0,4911.698740887575
429,comboing,1.383230944839741,3.551159378074041e-05,,,,,1,0.0004912073541809863,0.0,6.781393232814471,11,4,3,47.0,4912.073541809864
440,company's,0.9303690455971364,6.746459316648365e-05,,,,,1,0.0006276696915590048,0.0,5.48881391316872,11,2,3,47.0,6276.696915590049
451,scrape,1.0477110997536212,7.065526077266317e-05,,,,,1,0.0007402630096750582,0.0,5.671342994435431,11,3,2,47.0,7402.63009675058
462,quebec,0.8545766942678695,0.00014379358949192592,,,,,1,0.0012288265036492112,0.0,4.07743982820194,11,2,1,47.0,12288.265036492112
473,card-counting,1.1163540280576525,6.446977685959748e-05,,,,,1,0.0007197109508518969,0.0,5.5399993166900705,11,3,3,47.0,7197.109508518969
484,spot-on,1.2643266785586031,6.415773199139533e-05,,,,,1,0.0008111633219253389,0.0,5.428147676059716,11,2,4,47.0,8111.633219253387
495,binary,0.6708672412410216,0.00020920975792644355,,,,,1,0.0014035197314081513,0.0,3.7952627469219262,11,2,2,47.0,14035.197314081512
506,rookie,1.1815471897775136,3.332611402066513e-05,,,,,1,0.00039376376367321884,0.0,8.574687624117585,11,7,5,47.0,3937.637636732189
517,agonizingly,0.9107985711770141,0.00010611396492360564,,,,,1,0.0009664844763434781,0.0,5.24800275623237,11,4,1,47.0,9664.84476343478
528,idiotic,0.6300890093523376,0.00044631008385175155,,,,,1,0.0028121507859810886,0.0,3.055566866444016,11,2,1,47.0,28121.507859810878
539,hh,1.3488971022057792,3.2574190463402974e-05,,,,,1,0.00043939231122783385,0.0,7.947427073397757,11,10,5,47.0,4393.92311227834
550,jamey,0.8894960303868867,5.998147201168241e-05,,,,,1,0.0005335328125115365,0.0,8.710644029237407,11,11,5,47.0,5335.328125115366
561,dex,0.9550881476660964,5.83784774556853e-05,,,,,1,0.0005575659189671744,0.0,7.002946214391829,11,5,3,47.0,5575.659189671745
572,b6,1.1078231150608562,3.072647389472231e-05,,,,,1,0.0003403949802488734,0.0,7.952992540354814,11,9,4,47.0,3403.9498024887343
583,gangs,1.21666297295135,7.575426158655884e-05,,,,,1,0.0009216740511563693,0.0,5.082259393909397,11,2,2,47.0,9216.740511563696
594,'11,1.3973045042515126,2.8816393149723687e-05,,,,,1,0.00040265275944391355,0.0,8.369422954674798,11,10,4,47.0,4026.5275944391356
605,depict,1.266415774868192,6.900259067026682e-05,,,,,1,0.0008738596933159864,0.0,5.40383025898065,11,2,3,47.0,8738.59693315986
616,tightest,0.7968484848757775,4.899629978967331e-05,,,,,1,0.00039042627251920564,0.0,9.555851017057329,11,11,5,47.0,3904.2627251920558
627,myth,1.0201066297311503,6.153795352413303e-05,,,,,1,0.0006277527437005552,0.0,6.093053858001382,11,3,4,47.0,6277.527437005552
